,SMILES,Tanimoto,Dice,russel_rao,Cluster_T
697,c1cc(cnc1)c2csc(n2)c3ccc(cc3)F,0.2213740458015267,0.3625,0.3625,7
756,c1cc(cc(c1)N2CCN(CC2)C(=O)c3cccnc3)C(F)(F)F,0.2323943661971831,0.3771428571428571,0.3771428571428571,7
936,c1cc(ccc1c2c(n(cn2)C3CC[NH2+]CC3)c4ccnc(n4)N)F,0.2413793103448276,0.3888888888888889,0.3888888888888889,7
942,c1cc(ccc1c2c([nH]cn2)c3ccncc3)F,0.2213740458015267,0.3625,0.3625,7
950,COc1cc(nc2c1c(c([nH]2)c3ccc(cc3)F)c4ccncc4)N,0.2344827586206896,0.3798882681564245,0.3798882681564245,7
976,c1ccc2c(c1)nc(n2Cc3ccc(cc3)F)N4CC[NH2+]CC4,0.2411347517730496,0.3885714285714285,0.3885714285714285,7
1151,c1cc(ccc1[C@H](CCC[NH+]2CCN(CC2)c3ncc(cn3)F)O)F,0.2785714285714286,0.435754189944134,0.435754189944134,7
1241,COc1ccnc(n1)N2CCN(CC2)C(=O)c3ccccc3,0.2302158273381295,0.3742690058479532,0.3742690058479532,7
1242,COc1ccnc(n1)N2CCN(CC2)C(=O)c3ccccn3,0.2302158273381295,0.3742690058479532,0.3742690058479532,7
1338,c1ccc2c(c1)CC[C@@H](O2)C[NH2+]Cc3cc(cnc3)c4ccc(cc4)F,0.2348993288590604,0.3804347826086957,0.3804347826086957,7
1387,c1ccc2c(c1)n3cc(nc3s2)c4ccc(cc4)F,0.225563909774436,0.3680981595092024,0.3680981595092024,7
1484,COc1ccc(cc1)c2cnc3c(cnn3c2)c4ccsc4,0.2463768115942029,0.3953488372093023,0.3953488372093023,7
1485,COc1ccc(cc1)c2cnc3c(cnn3c2)c4cccnc4,0.2681159420289855,0.4228571428571429,0.4228571428571429,7
1973,COc1cccc(c1C(=O)N2CCN(CC2)c3ccc(cc3)F)OC,0.2624113475177305,0.4157303370786517,0.4157303370786517,7
2020,c1cc(sc1)C(=O)N2CCN(CC2)c3ccc(cc3)F,0.25,0.4,0.4,7
2135,CS(=O)(=O)N1CCN(CC1)c2ccc(cc2)F,0.2419354838709677,0.3896103896103896,0.3896103896103896,7
2482,Cc1ccc(cc1C)C(=O)N2CCN(CC2)c3ccc(cc3)F,0.2835820895522388,0.4418604651162791,0.4418604651162791,7
2483,Cc1ccc(cc1C)C(=O)N2CCN(CC2)c3ccccc3,0.2318840579710145,0.3764705882352941,0.3764705882352941,7
